,postcode,bedrooms,main_type,second_level_type,footprint_area_sqm,abshmin,absh2,abshmax,relh2,relhmax,internal_floor_area_sqm,chain_1_hash
4418,SW11 1QB,5,HSE,TERR,66.4775,10.4,15.5,20.6,5.1,10.2,162.0,c3a6db321feba2e0733e84e875f0c3f0
4419,SW11 2JY,3,FLA,CNV,171.52388,3.3,11.5,16.1,8.2,12.8,97.0,e92c5bc48114398a2686463614a78b19
4420,SW11 5NY,2,FLA,CNV,75.51963,20.3,25.1,30.4,4.8,10.1,35.0,677dd5ef6af7155c9a2a1ba73aa80281
4421,SW11 3NG,2,FLA,BLK,237.07502,4.7,60.6,67.2,55.9,62.5,57.0,
4422,SW11 3NG,2,FLA,BLK,237.07502,4.7,60.6,67.2,55.9,62.5,58.0,
4423,SW11 5NY,1,FLA,CNV,61.09876,18.6,27.0,29.0,8.4,10.4,45.0,677dd5ef6af7155c9a2a1ba73aa80281
4424,SW11 6QY,5,HSE,TERR,80.13197,17.5,24.0,28.3,6.5,10.8,173.0,a7e2a2cde3a66debbe1bcb5c65f4981c
4425,SW11 2JZ,3,HSE,TERR,104.70375,6.3,15.3,19.3,9.0,13.0,85.0,6a1eb4ce19221dbbf3f4d01324bd0d89
4426,SW11 2JZ,1,HSE,TERR,101.21374,7.2,17.0,20.7,9.8,13.5,81.0,6a1eb4ce19221dbbf3f4d01324bd0d89
4427,SW11 3NG,0,FLA,BLK,237.07502,4.7,60.6,67.2,55.9,62.5,36.0,
4428,SW11 5NY,3,FLA,CNV,62.20438,20.1,26.5,30.6,6.4,10.5,45.0,677dd5ef6af7155c9a2a1ba73aa80281
4429,SW11 2JZ,3,FLA,BLK,105.10499,8.3,17.5,22.3,9.2,14.0,84.0,6a1eb4ce19221dbbf3f4d01324bd0d89
4430,SW11 6QY,5,HSE,TERR,71.109,17.2,24.4,28.2,7.2,11.0,215.0,a7e2a2cde3a66debbe1bcb5c65f4981c
4431,SW11 2JZ,3,HSE,TERR,104.54999,8.5,17.4,23.1,8.9,14.6,80.0,6a1eb4ce19221dbbf3f4d01324bd0d89
4432,SW11 3NH,3,FLA,CNV,37.62,4.0,15.0,15.4,11.0,11.4,71.0,75d8627a84fd2b13f4781a4f557e21d2
4433,SW11 5NZ,5,HSE,TERR,77.97363,19.3,26.1,29.8,6.8,10.5,138.0,b4ebd5bf5e253f8f135a9a422c30e495
4434,SW11 2JZ,1,HSE,TERR,98.68749,9.2,19.3,23.2,10.1,14.0,81.0,6a1eb4ce19221dbbf3f4d01324bd0d89
4435,SW11 6QY,4,HSE,TERR,64.27653,16.9,24.4,27.6,7.5,10.7,229.0,a7e2a2cde3a66debbe1bcb5c65f4981c
4436,SW11 6QY,1,HSE,TERR,67.57005,16.7,22.7,27.5,6.0,10.8,163.0,a7e2a2cde3a66debbe1bcb5c65f4981c
4437,SW11 3NH,3,FLA,CNV,37.6945,4.1,15.1,15.5,11.0,11.4,72.0,07699bab30c42be3949243611c6fc05f
4438,SW11 2JZ,4,HSE,TERR,103.8825,9.6,19.1,23.8,9.5,14.2,81.0,6a1eb4ce19221dbbf3f4d01324bd0d89
4439,SW11 3NH,3,FLA,CNV,36.2,4.1,15.1,15.4,11.0,11.3,69.0,07699bab30c42be3949243611c6fc05f
4440,SW11 5NZ,4,HSE,TERR,67.67812,19.9,27.1,29.8,7.2,9.9,155.0,b4ebd5bf5e253f8f135a9a422c30e495
4441,SW11 2JZ,3,HSE,TERR,101.41625,10.3,20.0,24.7,9.7,14.4,85.0,6a1eb4ce19221dbbf3f4d01324bd0d89
4442,SW11 6QY,5,HSE,TERR,64.36868,16.3,22.8,26.1,6.5,9.8,159.0,a7e2a2cde3a66debbe1bcb5c65f4981c
4443,SW11 3NH,3,FLA,CNV,3.41626,4.2,15.0,15.1,10.8,10.9,72.0,40ca0affe70e3ca30833a60b06a2b6d7
4444,SW11 5NZ,5,HSE,TERR,68.57868,19.4,27.3,30.1,7.9,10.7,190.0,b4ebd5bf5e253f8f135a9a422c30e495
4445,SW11 3NH,3,FLA,CNV,45.81625,4.2,14.7,15.4,10.5,11.2,75.0,40ca0affe70e3ca30833a60b06a2b6d7
4446,SW11 5NZ,4,HSE,TERR,63.46443,20.2,26.8,30.2,6.6,10.0,125.0,b4ebd5bf5e253f8f135a9a422c30e495
4447,SW11 6QY,4,HSE,TERR,80.90615,16.0,21.6,25.3,5.6,9.3,129.0,a7e2a2cde3a66debbe1bcb5c65f4981c
4448,SW11 6QY,4,HSE,TERR,81.77136,18.5,26.7,30.2,8.2,11.7,128.0,a7e2a2cde3a66debbe1bcb5c65f4981c
4449,SW11 6QY,4,HSE,TERR,57.53374,15.8,21.8,25.2,6.0,9.4,130.0,a7e2a2cde3a66debbe1bcb5c65f4981c
4450,SW11 6QY,4,HSE,TERR,71.43045,15.7,21.5,24.6,5.8,8.9,143.0,a7e2a2cde3a66debbe1bcb5c65f4981c
4451,SW11 3NH,3,FLA,CNV,38.37,4.1,15.0,15.3,10.9,11.2,73.0,40ca0affe70e3ca30833a60b06a2b6d7
4452,SW11 5NZ,4,HSE,TERR,58.84626,19.5,27.0,30.2,7.5,10.7,124.0,b4ebd5bf5e253f8f135a9a422c30e495
4453,SW11 6QY,1,HSE,TERR,66.27198,15.5,21.8,24.8,6.3,9.3,,a7e2a2cde3a66debbe1bcb5c65f4981c
4454,SW11 3NH,4,FLA,CNV,45.81625,4.2,14.7,15.4,10.5,11.2,87.0,40ca0affe70e3ca30833a60b06a2b6d7
4455,SW11 5NZ,0,FLA,CNV,64.23225,20.1,27.3,30.2,7.2,10.1,37.0,b4ebd5bf5e253f8f135a9a422c30e495
4456,SW11 5NZ,2,FLA,CNV,64.23225,20.1,27.3,30.2,7.2,10.1,93.0,b4ebd5bf5e253f8f135a9a422c30e495
4457,SW11 3NJ,4,FLA,CNV,3.17626,4.4,15.3,15.6,10.9,11.2,72.0,cdf50c445ff4008c91e7a890872a1ac9
4458,SW11 6QY,5,HSE,TERR,76.34214,15.0,20.5,24.0,5.5,9.0,161.0,a7e2a2cde3a66debbe1bcb5c65f4981c
